frame.number,frame.time,ip.src,ip.dst,tcp.port,frame.len
"339","Oct 22, 2017 12:46:49.699035000 CEST","192.168.1.142","93.184.220.29","35402","505"
"340","Oct 22, 2017 12:46:49.703073000 CEST","192.168.1.142","93.184.220.29","35396","505"
"341","Oct 22, 2017 12:46:49.709865000 CEST","93.184.220.29","192.168.1.142","80","854"
"342","Oct 22, 2017 12:46:49.709917000 CEST","192.168.1.142","93.184.220.29","35402","66"
"343","Oct 22, 2017 12:46:49.714871000 CEST","93.184.220.29","192.168.1.142","80","854"
"344","Oct 22, 2017 12:46:49.714967000 CEST","192.168.1.142","93.184.220.29","35396","66"
"345","Oct 22, 2017 12:46:49.735884000 CEST","192.168.1.142","93.184.220.29","35402","505"
"346","Oct 22, 2017 12:46:49.736018000 CEST","192.168.1.142","93.184.220.29","35396","505"
"347","Oct 22, 2017 12:46:49.747647000 CEST","93.184.220.29","192.168.1.142","80","854"
"348","Oct 22, 2017 12:46:49.747821000 CEST","93.184.220.29","192.168.1.142","80","854"
"349","Oct 22, 2017 12:46:49.788449000 CEST","192.168.1.142","93.184.220.29","35396","66"
"350","Oct 22, 2017 12:46:49.788496000 CEST","192.168.1.142","93.184.220.29","35402","66"
